triangle
67
1461,4855,1242256789215
1414,4872,1242256789222
1397,4874,1242256789230
1383,4874,1242256789237
1375,4863,1242256789245
1380,4849,1242256789252
1397,4813,1242256789260
1428,4766,1242256789267
1469,4697,1242256789275
1533,4608,1242256789282
1616,4495,1242256789290
1711,4359,1242256789297
1819,4201,1242256789305
1944,4024,1242256789312
2077,3832,1242256789320
2214,3625,1242256789328
2352,3406,1242256789335
2491,3190,1242256789343
2619,2973,1242256789350
2744,2768,1242256789358
2858,2583,1242256789365
2966,2425,1242256789373
3061,2294,1242256789380
3141,2192,1242256789388
3211,2117,1242256789395
3272,2073,1242256789403
3316,2059,1242256789410
3355,2070,1242256789418
3386,2109,1242256789425
3405,2184,1242256789433
3419,2289,1242256789440
3430,2430,1242256789448
3436,2608,1242256789455
3441,2815,1242256789463
3449,3043,1242256789470
3461,3281,1242256789478
3472,3517,1242256789485
3491,3744,1242256789493
3513,3952,1242256789500
3544,4132,1242256789508
3580,4279,1242256789515
3613,4398,1242256789523
3647,4492,1242256789531
3674,4561,1242256789538
3697,4614,1242256789546
3708,4650,1242256789553
3702,4675,1242256789561
3680,4689,1242256789568
3638,4689,1242256789576
3574,4689,1242256789583
3483,4678,1242256789591
3363,4675,1242256789598
3222,4669,1242256789606
3055,4669,1242256789613
2877,4675,1242256789621
2683,4689,1242256789628
2480,4714,1242256789636
2288,4744,1242256789643
2102,4777,1242256789651
1933,4811,1242256789658
1783,4838,1242256789666
1664,4852,1242256789673
1572,4858,1242256789681
1503,4841,1242256789688
1472,4811,1242256789696
1469,4772,1242256789703
1486,4728,1242256789711
